# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
25.1857108465,86.0000000000,0.0010000000,0.9521681133,0.0172073639,0.0026235115,0.0512202260,0.0000000000
24.8464952457,86.4166666667,0.0010000000,0.9528123406,0.0170078533,0.0025881766,0.0508741249,0.0000000000
24.4892866497,86.5000000000,0.0010000000,0.9534907396,0.0167978384,0.0025509674,0.0505071021,0.0000000000
28.2969122173,85.5000000000,0.0010000000,0.9462594204,0.0179176465,0.0029475950,0.0542917583,0.0000000000
23.7936769778,86.5000000000,0.0010000000,0.9548118190,0.0164762797,0.0024785080,0.0497846163,0.0000000000
23.2131955165,87.4166666667,0.0010000000,0.9559142506,0.0160158639,0.0024180412,0.0491735823,0.0000000000
22.7338840764,86.6666666667,0.0010000000,0.9568245434,0.0159716180,0.0023681129,0.0486632605,0.0000000000
22.5141003354,86.1666666667,0.0010000000,0.9572419495,0.0159282078,0.0023452188,0.0484274590,0.0000000000
21.6461563669,87.5833333333,0.0010000000,0.9588903206,0.0153402260,0.0022548080,0.0474848182,0.0000000000
20.9724461628,87.3333333333,0.0010000000,0.9601698092,0.0149803233,0.0021846298,0.0467400236,0.0000000000
20.0984411748,87.5833333333,0.0010000000,0.9618296912,0.0146128617,0.0020935876,0.0457557387,0.0000000000
19.6762393974,87.2500000000,0.0010000000,0.9626315232,0.0143554338,0.0020496083,0.0452725996,0.0000000000
18.7993244733,87.5000000000,0.0010000000,0.9642969316,0.0140453176,0.0019582630,0.0442522651,0.0000000000
18.2096730885,87.9166666667,0.0010000000,0.9654167784,0.0136131278,0.0018968409,0.0435527375,0.0000000000
17.2189052908,87.6666666667,0.0010000000,0.9672984125,0.0131427050,0.0017936360,0.0423513396,0.0000000000
16.7192440153,87.3333333333,0.0010000000,0.9682473531,0.0129864753,0.0017415879,0.0417323366,0.0000000000
15.8741167161,88.0000000000,0.0010000000,0.9698523915,0.0124824646,0.0016535538,0.0406639131,0.0000000000
15.5249896240,88.0000000000,0.0010000000,0.9705154423,0.0122493577,0.0016171864,0.0402142564,0.0000000000
14.1626860731,88.5000000000,0.0010000000,0.9731026851,0.0115938768,0.0014752798,0.0384093712,0.0000000000
14.3381923251,88.4166666667,0.0010000000,0.9727693693,0.0116392041,0.0014935617,0.0386466260,0.0000000000
13.1615614241,89.0833333333,0.0010000000,0.9750039886,0.0109799495,0.0013709960,0.0370269629,0.0000000000
