# Loss,Accuracy,Learning_Rate,R2,MAE,MSE,RMSE,MAPE
28.3674319810,85.0833333333,0.0010000000,0.9461254916,0.0185989661,0.0029549408,0.0543593675,0.0000000000
26.6632259585,85.2500000000,0.0010000000,0.9493620645,0.0180705926,0.0027774194,0.0527012274,0.0000000000
25.8493039622,84.9166666667,0.0010000000,0.9509078388,0.0178013696,0.0026926358,0.0518906141,0.0000000000
25.5140801604,84.9166666667,0.0010000000,0.9515444850,0.0177459003,0.0026577167,0.0515530473,0.0000000000
23.7761256660,85.2500000000,0.0010000000,0.9548451519,0.0169770391,0.0024766798,0.0497662512,0.0000000000
23.2595039018,85.5000000000,0.0010000000,0.9558263032,0.0166449403,0.0024228650,0.0492226065,0.0000000000
21.7758998603,86.0000000000,0.0010000000,0.9586439160,0.0159953330,0.0022683229,0.0476269136,0.0000000000
21.1976744596,85.6666666667,0.0010000000,0.9597420629,0.0158893885,0.0022080911,0.0469903297,0.0000000000
19.9266227440,86.2500000000,0.0010000000,0.9621560032,0.0150247188,0.0020756899,0.0455597396,0.0000000000
19.2221462083,87.0000000000,0.0010000000,0.9634939222,0.0143895963,0.0020023069,0.0447471440,0.0000000000
19.1473307464,86.5833333333,0.0010000000,0.9636360093,0.0145234950,0.0019945136,0.0446599778,0.0000000000
17.4713147174,87.0833333333,0.0010000000,0.9668190447,0.0139293677,0.0018199286,0.0426606214,0.0000000000
16.7140710983,87.0833333333,0.0010000000,0.9682571773,0.0133816311,0.0017410491,0.0417258801,0.0000000000
16.4893383698,87.5000000000,0.0010000000,0.9686839824,0.0130200216,0.0017176394,0.0414444135,0.0000000000
15.5289461572,87.8333333333,0.0010000000,0.9705079282,0.0124960457,0.0016175986,0.0402193804,0.0000000000
14.4663203639,88.1666666667,0.0010000000,0.9725260327,0.0120090450,0.0015069084,0.0388189177,0.0000000000
13.5393207694,88.1666666667,0.0010000000,0.9742865603,0.0114916810,0.0014103459,0.0375545725,0.0000000000
12.8407525307,88.9166666667,0.0010000000,0.9756132585,0.0109735672,0.0013375784,0.0365729188,0.0000000000
11.8899462571,89.0000000000,0.0010000000,0.9774189990,0.0104726654,0.0012385361,0.0351928412,0.0000000000
10.9645564770,89.1666666667,0.0010000000,0.9791764693,0.0099703937,0.0011421413,0.0337955811,0.0000000000
11.2076842467,89.2500000000,0.0010000000,0.9787147289,0.0097547528,0.0011674671,0.0341682178,0.0000000000
11.3581944461,88.2500000000,0.0010000000,0.9784288848,0.0103442324,0.0011831453,0.0343968786,0.0000000000
9.3764002890,89.0000000000,0.0010000000,0.9821926441,0.0091993430,0.0009767084,0.0312523337,0.0000000000
7.2465411075,90.6666666667,0.0010000000,0.9862376037,0.0075082674,0.0007548480,0.0274744978,0.0000000000
7.1380232404,90.5833333333,0.0010000000,0.9864436974,0.0076289144,0.0007435441,0.0272680048,0.0000000000
6.0881265468,89.5833333333,0.0010000000,0.9884376272,0.0071269833,0.0006341798,0.0251829277,0.0000000000
6.2369865569,89.5833333333,0.0010000000,0.9881549171,0.0072662276,0.0006496861,0.0254889407,0.0000000000
4.1036807467,91.0833333333,0.0010000000,0.9922064224,0.0057440870,0.0004274667,0.0206752689,0.0000000000
2.7550182676,92.3333333333,0.0010000000,0.9947677585,0.0045041575,0.0002869811,0.0169405156,0.0000000000
3.0499938908,91.5000000000,0.0010000000,0.9942075503,0.0050514256,0.0003177077,0.0178243568,0.0000000000
1.8775804900,93.2500000000,0.0010000000,0.9964341599,0.0036691322,0.0001955813,0.0139850385,0.0000000000
1.5563879080,94.0000000000,0.0010000000,0.9970441585,0.0032327069,0.0001621237,0.0127327821,0.0000000000
1.6571661386,93.6666666667,0.0010000000,0.9968527637,0.0034408744,0.0001726215,0.0131385491,0.0000000000
1.7656941816,92.5833333333,0.0010000000,0.9966466508,0.0037024517,0.0001839265,0.0135619496,0.0000000000
1.1092677176,94.2500000000,0.0010000000,0.9978933147,0.0028380816,0.0001155487,0.0107493591,0.0000000000
1.0631983392,94.3333333333,0.0010000000,0.9979808081,0.0027357892,0.0001107498,0.0105237744,0.0000000000
1.2241228376,93.2500000000,0.0010000000,0.9976751855,0.0030800162,0.0001275128,0.0112921564,0.0000000000
